,lfc_NFlag,REFSEQ_new,REFSEQ,ISO,SYMBOL
463,-1.035110194,NP_005498,NP_005498.1,NM_005507.3,CFL1
464,-0.781461805,NP_005508,NP_005508.1,NM_005517.4,HMGN2
465,-1.081230696,NP_005514,NP_005514.1,NM_005523.6,HOXA11
466,-0.939510518,NP_005660,NP_005660.4,NM_005669.5,REEP5
467,-0.769027632,NP_005723,NP_005723.2,NM_005732.4,RAD50
468,-1.037895343,NP_005724,NP_005724.1,NM_005733.3,KIF20A
469,-0.950260251,NP_005751,NP_005751.2,NM_005760.3,CEBPZ
470,-0.582563508,NP_005753,NP_005753.1,NM_005762.3,TRIM28
471,1.432516301,NP_005759,NP_005759.4,NM_005768.6,LPCAT3
472,-0.579133482,NP_005767,NP_005767.1,NM_005776.3,CNIH1
473,-0.708227228,NP_005773,NP_005773.3,NM_005782.4,ALYREF
474,-0.81406155,NP_005774,NP_005774.2,NM_005783.4,TXNDC9
475,-1.043318314,NP_005782,NP_005782.1,NM_005791.3,MPHOSPH10
476,-0.90000384,NP_005796,NP_005796.1,NM_005805.6,PSMD14
477,-0.888131279,NP_005800,NP_005800.3,NM_005809.6,PRDX2
478,-1.03395077,NP_005802,NP_005802.1,NM_005811.5,GDF11
479,-0.585672104,NP_005819,NP_005819.3,NM_005828.5,DCAF7
480,-0.943532261,NP_005821,NP_005821.2,NM_005830.4,MRPS31
481,-1.660389567,NP_005827,NP_005827.1,NM_005836.3,RIDA
482,-0.676646398,NP_005828,NP_005828.2,NM_005837.3,POP7
483,-0.721287258,NP_005849,NP_005849.1,NM_005858.4,AKAP8
484,-0.449744178,NP_005850,NP_005850.1,NM_005859.5,PURA
485,-0.93568439,NP_005863,NP_005863.1,NM_005872.3,BCAS2
486,-0.725915674,NP_005868,NP_005868.1,NM_005877.6,SF3A1
487,-0.892190924,NP_005871,NP_005871.1,NM_005880.4,DNAJA2
488,-0.751305545,NP_005877,NP_005877.2,NM_005886.3,KATNB1
489,-0.980490549,NP_005906,NP_005906.2,NM_005915.6,MCM6
490,-1.135846105,NP_005947,NP_005947.3,NM_005956.4,MTHFD1
491,-0.716705023,NP_005964,NP_005964.3,NM_005973.5,PRCC
492,-0.69017065,NP_005990,NP_005990.1,NM_005999.3,TSNAX
493,-0.811751515,NP_005994,NP_005994.2,NM_006003.3,UQCRFS1
494,-1.508701163,NP_006020,NP_006020.4,NM_006029.5,PNMA1
495,-0.978877852,NP_006053,NP_006053.2,NM_006062.3,SMYD5
496,-0.752631666,NP_006073,NP_006073.2,NM_006082.3,TUBA1B
497,-0.693636561,NP_006074,NP_006074.2,NM_006083.4,IK
498,-0.729118404,NP_006079,NP_006079.1,NM_006088.6,TUBB4B
499,-0.791717138,NP_006147,NP_006147.1,NM_006156.3,NEDD8
500,-0.791717138,NP_006147,NP_006147.1-2,NM_006156.3-2,
501,-1.05092976,NP_006169,NP_006169.2,NM_006178.4,NSF
502,-1.05092976,NP_006169,NP_006169.2-2,NM_006178.4-2,
503,-0.790591886,NP_006182,NP_006182.2,NM_006191.3,PA2G4
504,-0.804112558,NP_006187,NP_006187.2,NM_006196.4,PCBP1
505,-1.038964667,NP_006214,NP_006214.3,NM_006223.4,PIN4
506,-0.767041352,NP_006228,NP_006228.3,NM_006237.4,POU4F1
507,-0.514614685,NP_006256,NP_006256.1,NM_006265.3,RAD21
508,-1.155504973,NP_006266,NP_006266.2,NM_006275.6,SRSF6
509,-0.604864146,NP_006280,NP_006280.3,NM_006289.4,TLN1
510,-1.128245801,NP_006295,NP_006295.1,NM_006304.2,SEM1
511,-1.137639038,NP_006296,NP_006296.1,NM_006305.4,ANP32A
512,-0.621128847,NP_006311,NP_006311.3,NM_006320.6,PGRMC2
513,-0.899231473,NP_006315,NP_006315.1,NM_006324.3,CFDP1
514,-0.900309453,NP_006323,NP_006323.2,NM_006332.5,IFI30
515,-0.851114159,NP_006326,NP_006326.1,NM_006335.3,TIMM17A
516,-0.800628926,NP_006360,NP_006360.3,NM_006369.5,LRRC41
517,-0.738931041,NP_006382,NP_006382.1,NM_006391.3,IPO7
518,-0.612644524,NP_006388,NP_006388.2,NM_006397.3,RNASEH2A
519,-0.818068054,NP_006392,NP_006392.1,NM_006401.3,ANP32B
520,-0.758478179,NP_006397,NP_006397.1,NM_006406.2,PRDX4
521,-1.149936102,NP_006398,NP_006398.1,NM_006407.4,ARL6IP5
522,-1.627405028,NP_006428,NP_006428.2,NM_006437.4,PARP4
523,-0.799919446,NP_006444,NP_006444.2,NM_006453.3,TBL3
524,-0.791221202,NP_006445,NP_006445.1,NM_006454.3,MXD4
525,-0.74403169,NP_006451,NP_006451.1,NM_006460.3,HEXIM1
526,-0.812616317,NP_006467,NP_006467.4,NM_006476.5,ATP5MG
527,-0.901399279,NP_006501,NP_006501.1,NM_006510.5,TRIM27
528,-0.901399279,NP_006501,NP_006501.1-3,NM_006510.5-3,
529,-0.901399279,NP_006501,NP_006501.1-4,NM_006510.5-4,
530,-0.901399279,NP_006501,NP_006501.1-6,NM_006510.5-6,
531,-0.901399279,NP_006501,NP_006501.1-7,NM_006510.5-7,
532,-1.027642518,NP_006561,NP_006561.1,NM_006570.5,RRAGA
533,-1.218167171,NP_006562,NP_006562.1,NM_006571.4,DCTN6
534,-0.686057544,NP_006570,NP_006570.1,NM_006579.3,EBP
535,1.915479244,NP_006603,NP_006603.2,NM_006612.6,KIF1C
536,-0.978638764,NP_006618,NP_006618.1,NM_006627.3,POP4
537,-1.516111203,NP_006658,NP_006658.1,NM_006667.5,PGRMC1
538,-0.84102577,NP_006685,NP_006685.1,NM_006694.4,JTB
539,-0.736625381,NP_006694,NP_006694.1,NM_006703.4,NUDT3
540,-0.778028868,NP_006708,NP_006708.2,NM_006717.3,SPIN1
541,-1.010758309,NP_006734,NP_006734.1,NM_006743.5,RBM3
542,-0.78716693,NP_006752,NP_006752.1,NM_006761.5,YWHAE
543,-0.78716693,NP_006752,NP_006752.1-2,NM_006761.5-2,
544,-0.901635872,NP_006758,NP_006758.2,NM_006767.4,LZTR1
545,-1.311837179,NP_006784,NP_006784.1,NM_006793.5,PRDX3
546,-0.841549824,NP_006796,NP_006796.1,NM_006805.4,HNRNPA0
547,-1.104906026,NP_006817,NP_006817.1,NM_006826.4,YWHAQ
548,-0.689685942,NP_006818,NP_006818.3,NM_006827.6,TMED10
549,-0.798965527,NP_006824,NP_006824.2,NM_006833.5,COPS6
550,1.2507482,NP_006857,NP_006857.2,NM_006866.4,LILRA2
551,1.2507482,NP_006857,NP_006857.2-2,NM_006866.4-2,
552,1.2507482,NP_006857,NP_006857.2-3,NM_006866.4-3,
553,1.2507482,NP_006857,NP_006857.2-4,NM_006866.4-4,
554,-0.890127107,NP_006867,NP_006867.1,NM_006876.3,B4GAT1
555,-0.731562219,NP_008817,NP_008817.1,NM_006886.4,ATP5F1E
556,-0.55104019,NP_008818,NP_008818.3,NM_006887.5,ZFP36L2
557,-1.046837989,NP_008827,NP_008827.2,NM_006896.4,HOXA7
558,-1.334105139,NP_008828,NP_008828.1,NM_006897.3,HOXC9
559,-0.654214222,NP_008844,NP_008844.1,NM_006913.4,RNF5
560,-0.654214222,NP_008844,NP_008844.1-5,NM_006913.4-5,
561,-0.654214222,NP_008844,NP_008844.1-6,NM_006913.4-6,
562,-0.654214222,NP_008844,NP_008844.1-7,NM_006913.4-7,
563,-1.121612845,NP_008864,NP_008864.4,NM_006933.7,SLC5A3
564,-0.727055264,NP_008868,NP_008868.3,NM_006937.4,SUMO2
565,-0.772234462,NP_008869,NP_008869.1,NM_006938.4,SNRPD1
566,2.812337796,NP_008922,NP_008922.1,NM_006991.5,ZNF197
567,2.812337796,NP_008922,NP_008922.1-2,NM_006991.5-2,
568,-1.184478498,NP_008937,NP_008937.1,NM_007006.3,NUDT21
569,-0.610173538,NP_008986,NP_008986.2,NM_007055.4,POLR3A
570,-1.00823405,NP_008996,NP_008996.1,NM_007065.4,CDC37
571,-0.632654027,NP_009031,NP_009031.1,NM_007100.4,ATP5ME
572,-0.823172473,NP_009039,NP_009039.1,NM_007108.4,ELOB
573,-1.483640582,NP_009060,NP_009060.2,NM_007129.5,ZIC2
574,-0.818227163,NP_009107,NP_009107.1,NM_007176.4,ERG28
575,-0.866667993,NP_009120,NP_009120.1,NM_007189.3,ABCF2
576,-0.853111503,NP_009123,NP_009123.1,NM_007192.4,SUPT16H
577,-0.856442687,NP_009135,NP_009135.4,NM_007204.5,DDX20
578,-1.199781031,NP_009139,NP_009139.1,NM_007208.4,MRPL3
579,-0.739660657,NP_009216,NP_009216.1,NM_007285.7,GABARAPL2
580,1.15218045,NP_009223,NP_009223.2,NM_007292.6,ACOX1
581,-1.157988596,NP_031401,NP_031401.1,NM_007375.4,TARDBP
582,-0.9337486,NP_036203,NP_036203.1,NM_012071.4,COMMD3
583,1.120866588,NP_036346,NP_036346.1,NM_012214.3,MGAT4A
584,-0.757871555,NP_036364,NP_036364.2,NM_012232.6,CAVIN1
585,-0.679287135,NP_036380,NP_036380.2,NM_012248.4,SEPHS2
586,-0.72132578,NP_036394,NP_036394.1,NM_012262.4,HS2ST1
587,-0.612214079,NP_036442,NP_036442.3,NM_012310.5,KIF4A
588,-1.006361416,NP_036449,NP_036449.1,NM_012317.4,LDOC1
589,-0.713026625,NP_036451,NP_036451.4,NM_012319.4,SLC39A6
590,-1.398822821,NP_036465,NP_036465.2,NM_012333.5,MYCBP
591,-1.138082256,NP_036474,NP_036474.1,NM_012342.3,BAMBI
592,1.335093662,NP_036506,NP_036506.1,NM_012374.2,OR4D1
593,2.255665229,NP_036507,NP_036507.2,NM_012375.3,OR52A1
594,-0.92980143,NP_036546,NP_036546.2,NM_012414.4,RAB3GAP2
595,-0.81847611,NP_036558,NP_036558.3,NM_012426.5,SF3B3
596,-1.363056965,NP_036591,NP_036591.3,NM_012459.4,TIMM8B
597,-0.839030669,NP_036611,NP_036611.2,NM_012479.4,YWHAG
598,-0.781999398,NP_037408,NP_037408.2,NM_013276.4,SHPK
599,0.848189391,NP_037465,NP_037465.2,NM_013333.4,EPN1
600,-0.737893591,NP_037469,NP_037469.2,NM_013337.4,TIMM22
601,-0.737893591,NP_037469,NP_037469.2-2,NM_013337.4-2,
602,-1.000998746,NP_037471,NP_037471.2,NM_013339.4,ALG6
603,-1.437444879,NP_037505,NP_037505.1,NM_013373.4,ZDHHC8
604,-1.099283986,NP_037507,NP_037507.1,NM_013375.4,ABT1
605,-1.099283986,NP_037507,NP_037507.1-2,NM_013375.4-2,
606,-0.977458541,NP_037519,NP_037519.2,NM_013387.4,UQCR10
607,1.875089106,NP_038460,NP_038460.4,NM_013432.5,TONSL
608,-0.898737832,NP_038472,NP_038472.2,NM_013444.4,UBQLN2
609,0.831915046,NP_039228,NP_039228.1,NM_013940.4,OR10H1
610,-1.074509307,NP_054733,NP_054733.2,NM_014014.5,SNRNP200
611,1.792317129,NP_054745,NP_054745.1,NM_014026.6,DCPS
612,-0.743526668,NP_054760,NP_054760.4,NM_014041.5,SPCS1
613,-0.866200102,NP_054766,NP_054766.1,NM_014047.3,C19orf53
614,-1.089268469,NP_054770,NP_054770.1,NM_014051.4,TMEM14A
615,-1.245782234,NP_054797,NP_054797.2,NM_014078.6,MRPL13
616,1.532151224,NP_054868,NP_054868.3,NM_014149.4,WDR91
617,-1.293888458,NP_054880,NP_054880.2,NM_014161.5,MRPL18
618,-0.826351932,NP_054886,NP_054886.2,NM_014167.5,CCDC59
619,-1.53727882,NP_054894,NP_054894.1,NM_014175.4,MRPL15
620,-0.880517132,NP_054900,NP_054900.2,NM_014181.3,LGALSL
621,-0.666930438,NP_054907,NP_054907.1,NM_014188.3,SSU72
622,-1.794491121,NP_055028,NP_055028.3,NM_014213.4,HOXD9
623,-1.275531345,NP_055070,NP_055070.1,NM_014255.7,CNPY2
624,-0.940584357,NP_055095,NP_055095.2,NM_014280.3,DNAJC8
625,-0.940584357,NP_055095,NP_055095.2-2,NM_014280.3-2,
626,-0.963026104,NP_055121,NP_055121.1,NM_014306.5,RTCB
627,-0.699469939,NP_055136,NP_055136.1,NM_014321.4,ORC6
628,1.725734403,NP_055145,NP_055145.3,NM_014330.5,PPP1R15A
629,-0.800204842,NP_055209,NP_055209.2,NM_014394.3,GHITM
630,-0.897472802,NP_055214,NP_055214.1,NM_014399.4,TSPAN13
631,-0.700729359,NP_055217,NP_055217.2,NM_014402.5,UQCRQ
632,2.361080583,NP_055257,NP_055257.2,NM_014442.3,SIGLEC8
633,-0.555376901,NP_055260,NP_055260.1,NM_014445.4,SERP1
634,-0.775625901,NP_055278,NP_055278.1,NM_014463.3,LSM3
635,-0.718019211,NP_055317,NP_055317.1,NM_014502.5,PRPF19
636,-1.414383451,NP_055318,NP_055318.2,NM_014503.3,UTP20
637,-0.793845447,NP_055417,NP_055417.1,NM_014602.3,PIK3R4
638,-0.736777412,NP_055422,NP_055422.1,NM_014607.4,UBXN4
639,-1.014010448,NP_055429,NP_055429.2,NM_014614.3,PSME4
640,1.586550604,NP_055498,NP_055498.3,NM_014683.4,ULK2
641,-0.724039194,NP_055524,NP_055524.3,NM_014709.4,USP34
642,-1.165793607,NP_055554,NP_055554.1,NM_014739.3,BCLAF1
643,-0.606120727,NP_055567,NP_055567.2,NM_014752.3,SPCS2
644,-0.739864962,NP_055570,NP_055570.1,NM_014755.3,SERTAD2
645,-0.916066961,NP_055575,NP_055575.3,NM_014760.4,TATDN2
646,-0.953678924,NP_055577,NP_055577.1,NM_014762.4,DHCR24
647,-1.217043629,NP_055578,NP_055578.2,NM_014763.4,MRPL19
648,-0.687796519,NP_055680,NP_055680.3,NM_014865.4,NCAPD2
649,-1.202789239,NP_055693,NP_055693.4,NM_014878.5,PUM3
650,-0.937017604,NP_055701,NP_055701.1,NM_014886.6,NSA2
651,-0.690000737,NP_055706,NP_055706.1,NM_014891.7,PDAP1
652,-1.240981407,NP_055723,NP_055723.1,NM_014908.4,DOLK
653,-0.780761328,NP_055787,NP_055787.1,NM_014972.3,TCF25
654,-1.273133953,NP_055816,NP_055816.2,NM_015001.3,SPEN
655,-0.793586861,NP_055871,NP_055871.1,NM_015056.3,RRP1B
656,-1.07500889,NP_055872,NP_055872.4,NM_015057.5,MYCBP2
657,-0.860804405,NP_055946,NP_055946.1,NM_015131.3,WDR43
658,-1.109668501,NP_055955,NP_055955.1,NM_015140.4,TTLL12
659,-1.186723162,NP_055959,NP_055959.2,NM_015144.3,ZCCHC14
660,-0.738593241,NP_056016,NP_056016.1,NM_015201.5,BOP1
661,-1.449805887,NP_056046,NP_056046.2,NM_015231.3,NUP160
662,-1.449805887,NP_056046,NP_056046.2-2,NM_015231.3-2,
663,-0.906745333,NP_056050,NP_056050.1,NM_015235.3,CSTF2T
664,-1.151867745,NP_056140,NP_056140.1,NM_015325.3,ICE1
665,-1.103297096,NP_056169,NP_056169.1,NM_015354.3,NUP188
666,-0.873352884,NP_056175,NP_056175.3,NM_015360.5,MTREX
667,-0.845498407,NP_056195,NP_056195.3,NM_015380.5,SAMM50
668,-0.622541691,NP_056212,NP_056212.1,NM_015397.4,DCAF12
669,-0.860296847,NP_056224,NP_056224.3,NM_015409.5,EP400
670,-1.332344218,NP_056236,NP_056236.2,NM_015421.4,TMEM186
671,-0.88449854,NP_056238,NP_056238.2,NM_015423.3,AASDHPPT
672,-0.962248716,NP_056240,NP_056240.2,NM_015425.6,POLR1A
673,0.843848393,NP_056246,NP_056246.3,NM_015431.4,TRIM58
674,-1.053969633,NP_056338,NP_056338.2,NM_015523.4,REXO2
675,1.138988889,NP_056360,NP_056360.2,NM_015545.4,PTCD1
676,-1.160838946,NP_056437,NP_056437.4,NM_015622.6,CCZ1
677,-0.789520671,NP_056474,NP_056474.2,NM_015659.3,RSL1D1
678,-0.850719607,NP_056508,NP_056508.2,NM_015693.4,INTU
679,-0.804486723,NP_056513,NP_056513.2,NM_015698.6,GPKOW
680,-0.736881802,NP_056517,NP_056517.1,NM_015702.3,MMADHC
681,-0.622091831,NP_056518,NP_056518.2,NM_015703.5,RRP7A
682,-0.683647757,NP_056541,NP_056541.2,NM_015726.4,DCAF8
683,-1.136070339,NP_056988,NP_056988.3,NM_015904.4,EIF5B
684,-1.083717159,NP_056991,NP_056991.2,NM_015907.3,LAP3
685,-0.894987298,NP_056997,NP_056997.1,NM_015913.4,TXNDC12
686,-0.869685604,NP_057016,NP_057016.1,NM_015932.6,POMP
687,-0.856982322,NP_057017,NP_057017.1,NM_015933.6,TMA7
688,-0.944536537,NP_057018,NP_057018.1,NM_015934.5,NOP58
689,-0.867649493,NP_057053,NP_057053.1,NM_015969.3,MRPS17
690,-1.059918106,NP_057055,NP_057055.2,NM_015971.4,MRPS7
691,-1.235127096,NP_057057,NP_057057.2,NM_015973.5,GAL
692,-0.931054455,NP_057059,NP_057059.2,NM_015975.5,TAF9B
693,-1.164247727,NP_057085,NP_057085.2,NM_016001.3,UTP18
694,-0.944658636,NP_057108,NP_057108.2,NM_016024.4,RBMX2
695,-0.778642287,NP_057122,NP_057122.2,NM_016038.4,SBDS
696,-0.9893574,NP_057123,NP_057123.1,NM_016039.3,RTRAF
697,-1.404202552,NP_057132,NP_057132.2,NM_016048.2,ISOC1
698,-0.850964224,NP_057143,NP_057143.1,NM_016059.5,PPIL1
699,-0.828127951,NP_057151,NP_057151.1,NM_016067.4,MRPS18C
700,-0.697466081,NP_057152,NP_057152.2,NM_016068.3,FIS1
701,-0.885869978,NP_057154,NP_057154.2,NM_016070.4,MRPS23
702,-0.788089655,NP_057178,NP_057178.2,NM_016094.4,COMMD2
703,-0.851447856,NP_057179,NP_057179.1,NM_016095.3,GINS2
704,-0.707805974,NP_057181,NP_057181.1,NM_016097.5,IER3IP1
705,-0.614209872,NP_057191,NP_057191.2,NM_016107.5,ZFR
706,-0.835687665,NP_057223,NP_057223.1,NM_016139.4,CHCHD2
707,-0.812554566,NP_057229,NP_057229.1,NM_016145.4,WDR83OS
708,-1.280140886,NP_057251,NP_057251.2,NM_016167.5,NOL7
709,-0.839020188,NP_057284,NP_057284.1,NM_016200.5,LSM8
710,-1.43765975,NP_057340,NP_057340.2,NM_016256.4,NAGPA
711,-0.941193052,NP_057359,NP_057359.2,NM_016275.5,SELENOT
712,-0.902063692,NP_057395,NP_057395.1,NM_016311.5,ATP5IF1
713,-0.902063692,NP_057395,NP_057395.1-2,NM_016311.5-2,
714,-0.843644386,NP_057417,NP_057417.3,NM_016333.4,SRRM2
715,-0.953589067,NP_057444,NP_057444.2,NM_016360.4,TACO1
716,-1.016700479,NP_057501,NP_057501.2,NM_016417.3,GLRX5
717,-1.117922627,NP_057550,NP_057550.3,NM_016466.6,ANKRD39
718,-0.749989087,NP_057575,NP_057575.2,NM_016491.4,MRPL37
719,-0.956847774,NP_057581,NP_057581.2,NM_016497.4,MRPL51
720,-1.394076035,NP_057584,NP_057584.2,NM_016500.5,PBDC1
721,-1.172833094,NP_057588,NP_057588.1,NM_016504.3,MRPL27
722,-0.776668449,NP_057594,NP_057594.5,NM_016510.7,SCLY
723,-0.809660008,NP_057604,NP_057604.1,NM_016520.3,C9orf78
724,-1.227355575,NP_057651,NP_057651.1,NM_016567.4,BCCIP
725,1.725913264,NP_057723,NP_057723.1,NM_016639.3,TNFRSF12A
726,-0.823926234,NP_057724,NP_057724.2,NM_016640.4,MRPS30
727,1.885288481,NP_058431,NP_058431.2,NM_016823.4,CRK
728,1.885288481,NP_058431,NP_058431.2-2,NM_016823.4-2,
729,1.684197073,NP_058649,NP_058649.3,NM_016953.4,PDE11A
730,-1.151978259,NP_060016,NP_060016.3,NM_017546.5,CNOT11
731,-0.563997191,NP_060083,NP_060083.1,NM_017613.4,DONSON
732,-1.04200144,NP_060117,NP_060117.3,NM_017647.4,FTSJ3
733,-1.027851138,NP_060217,NP_060217.1,NM_017747.3,ANKHD1
734,-0.873186307,NP_060271,NP_060271.1,NM_017801.3,CMTM6
735,-0.926763382,NP_060277,NP_060277.1,NM_017807.4,OSGEP
736,-0.926763382,NP_060277,NP_060277.1-2,NM_017807.4-2,
737,-0.66371549,NP_060283,NP_060283.3,NM_017813.5,BPNT2
738,-1.209424314,NP_060310,NP_060310.1,NM_017840.4,MRPL16
739,-1.232033804,NP_060311,NP_060311.1,NM_017841.4,SDHAF2
740,-1.207838182,NP_060316,NP_060316.1,NM_017846.5,TRNAU1AP
741,2.811506753,NP_060319,NP_060319.1,NM_017849.4,TMEM127
742,-0.957700819,NP_060337,NP_060337.2,NM_017867.3,HPF1
743,1.391336492,NP_060343,NP_060343.1,NM_017873.4,ASB6
744,-1.009130394,NP_060422,NP_060422.4,NM_017952.6,PTCD3
745,-1.638444886,NP_060426,NP_060426.2,NM_017956.4,TRMT12
746,-0.649361226,NP_060481,NP_060481.3,NM_018011.4,ARGLU1
747,-0.938833964,NP_060495,NP_060495.2,NM_018025.3,GPATCH1
748,-1.056056,NP_060506,NP_060506.6,NM_018036.7,ATG2B
749,-0.742540843,NP_060516,NP_060516.2,NM_018046.5,AGGF1
